particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Opening Balance,,,,,,0.000000
Net settlement  for  NSE-Equity with settlement number: 2020030,2020-02-10,NSE-EQ - Z,Book Voucher,31.738252,0.000000,-31.738252
Funds added using NEFT/IMPS/RTGS from EW1120 with reference number 4112242874    ,2020-02-10,NSE-EQ - Z,Bank Receipts,0.000000,2000.000000,1968.261748
Call and Trade charges(Auto Square Off) for 2020-02-10,2020-02-10,NSE-EQ - Z,Journal Entry,23.600000,0.000000,1944.661748
Call and Trade charges(Auto Square Off) for 2020-02-11,2020-02-11,NSE-EQ - Z,Journal Entry,23.600000,0.000000,1921.061748
Net settlement  for  NSE-Equity with settlement number: 2020031,2020-02-11,NSE-EQ - Z,Book Voucher,415.087541,0.000000,1505.974207
Net settlement  for  NSE-Equity with settlement number: 2020034,2020-02-14,NSE-EQ - Z,Book Voucher,1108.166061,0.000000,397.808146
Net settlement  for  NSE-Equity with settlement number: 2020036,2020-02-18,NSE-EQ - Z,Book Voucher,196.339154,0.000000,201.468992
Net settlement  for  NSE-Equity with settlement number: 2020037,2020-02-19,NSE-EQ - Z,Book Voucher,0.037350,0.000000,201.431642
Net settlement  for  NSE-Equity with settlement number: 2020042,2020-02-27,NSE-EQ - Z,Book Voucher,193.138708,0.000000,8.292934
Call and Trade charges(Auto Square Off) for 2020-04-13,2020-04-13,NSE-EQ - Z,Journal Entry,118.000000,0.000000,-109.707066
Net settlement  for  NSE-Equity with settlement number: 2020070,2020-04-13,NSE-EQ - Z,Book Voucher,257.695759,0.000000,-367.402825
Funds added using UPI EW1120 with reference number 10409396953    ,2020-04-13,NSE-EQ - Z,Bank Receipts,0.000000,2135.000000,1767.597175
Funds added using UPI EW1120 with reference number 10410430491    ,2020-04-13,NSE-EQ - Z,Bank Receipts,0.000000,100.000000,1867.597175
Net settlement  for  NSE-Equity with settlement number: 2020071,2020-04-15,NSE-EQ - Z,Book Voucher,1813.150102,0.000000,54.447073
Net settlement  for  NSE-Equity with settlement number: 2020072,2020-04-16,NSE-EQ - Z,Book Voucher,0.000000,2.251442,56.698515
Net settlement  for  NSE-Equity with settlement number: 2020073,2020-04-17,NSE-EQ - Z,Book Voucher,12.324728,0.000000,44.373787
Net settlement  for  NSE-Equity with settlement number: 2020074,2020-04-20,NSE-EQ - Z,Book Voucher,0.000000,4.458221,48.832008
Net settlement  for  NSE-Equity with settlement number: 2020075,2020-04-21,NSE-EQ - Z,Book Voucher,0.000000,8.184877,57.016885
Funds added using UPI EW1120 with reference number 11209960867    ,2020-04-21,NSE-EQ - Z,Bank Receipts,0.000000,500.000000,557.016885
Net settlement  for  NSE-Equity with settlement number: 2020076,2020-04-22,NSE-EQ - Z,Book Voucher,113.752339,0.000000,443.264546
Funds added using UPI EW1120 with reference number 11312477820    ,2020-04-22,NSE-EQ - Z,Bank Receipts,0.000000,500.000000,943.264546
Call and Trade charges(Auto Square Off) for 2020-04-23,2020-04-23,NSE-EQ - Z,Journal Entry,59.000000,0.000000,884.264546
Net settlement  for  NSE-Equity with settlement number: 2020077,2020-04-23,NSE-EQ - Z,Book Voucher,28.363848,0.000000,855.900698
Funds added using UPI EW1120 with reference number 11513336092    ,2020-04-24,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,5855.900698
Funds added using UPI EW1120 with reference number 11511255296    ,2020-04-24,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,25855.900698
Net settlement  for  NSE-Equity with settlement number: 2020078,2020-04-24,NSE-EQ - Z,Book Voucher,24791.114761,0.000000,1064.785937
Call and Trade charges(Auto Square Off) for 2020-04-27,2020-04-27,NSE-EQ - Z,Journal Entry,59.000000,0.000000,1005.785937
Net settlement  for  NSE-Equity with settlement number: 2020079,2020-04-27,NSE-EQ - Z,Book Voucher,44.528508,0.000000,961.257429
Net settlement  for  NSE-Equity with settlement number: 2020080,2020-04-28,NSE-EQ - Z,Book Voucher,0.000000,28322.720972,29283.978401
Funds added using UPI EW1120 with reference number 11910850230    ,2020-04-28,NSE-EQ - Z,Bank Receipts,0.000000,1000.000000,30283.978401
Net settlement  for  NSE-Equity with settlement number: 2020081,2020-04-29,NSE-EQ - Z,Book Voucher,14482.805346,0.000000,15801.173055
DP Charges for Sale of INDUSINDBK on 28/04/2020,2020-04-30,NSE-EQ - Z,Journal Entry,15.930000,0.000000,15785.243055
Net settlement  for  NSE-Equity with settlement number: 2020084,2020-05-05,NSE-EQ - Z,Book Voucher,0.000000,506.325782,16291.568837
Net settlement  for  NSE-Equity with settlement number: 2020085,2020-05-06,NSE-EQ - Z,Book Voucher,33.525369,0.000000,16258.043468
Call and Trade charges(Auto Square Off) for 2020-05-06,2020-05-06,NSE-EQ - Z,Journal Entry,118.000000,0.000000,16140.043468
Net settlement  for  NSE-Equity with settlement number: 2020086,2020-05-07,NSE-EQ - Z,Book Voucher,14893.163120,0.000000,1246.880348
